trade_date,predicted_pct_change,predicted_label,predicted_close,confidence,real_pct_change,correct,calibrated_confidence,confidence_calibration_window,confidence_calibration_method,confidence_calibration_rows,confidence_calibration_fallback,uncalibrated_predicted_return,return_calibration_scale,return_calibration_rows,return_calibration_close_fallback
20250925,-0.00043801139633047363,0,3851.6143097666959,0.64166666666666672,-0.0065388332775672131,True,0.54108336691698633,300,platt,300,0,-0.0026682685597045099,0.16415566369338025,252,0
20250926,0.00049296421735390303,1,3829.9931192782378,0.65000000000000002,0.0089928805524193134,True,0.54358943194422737,300,platt,300,0,0.0030030289924975785,0.16415566369338025,252,0
20250929,0.0012286924334657466,1,3867.2775634738114,0.65000000000000002,0.0052415621598651541,True,0.54705839459244576,300,platt,300,0,0.0074849225778817578,0.16415566369338025,252,0
20250930,-0.0004285808683135405,0,3881.1133158904399,0.65000000000000002,0.013185149372714422,False,0.55049857929296919,300,platt,300,0,-0.0022123062740817077,0.19372582961707571,252,0
20251009,0.0010100089863932507,1,3937.9457474762226,0.64166666666666672,-0.0093910928302395336,False,0.55130055092129437,300,platt,300,0,0.0052136000056867207,0.19372582961707571,252,0
20251010,0.0009370773405408269,1,3900.679916727961,0.6333333333333333,-0.0019311895646839661,False,0.55215521733056327,300,platt,300,0,0.0048371316431736651,0.19372582961707571,252,0
20251013,0.0019198830297615394,1,3896.9695892680002,0.6333333333333333,-0.0062407214990133353,False,0.54884305366099428,300,platt,300,0,0.009910310016771836,0.19372582961707571,252,0
20251014,0.0012870293627559779,1,3870.2035630880732,0.625,0.012154674720557868,True,0.54637708470758273,300,platt,300,0,0.0068542694597076076,0.18777046486451973,252,0
20251015,0.0009244506732820067,1,3915.8261447062951,0.6333333333333333,0.0010271689182290711,True,0.54881371345876073,300,platt,300,0,0.0056315490582691738,0.16415566369338025,252,0
20251016,-0.00053902175194057858,0,3914.1170679224415,0.6333333333333333,-0.019527131719603741,True,0.54875862526978281,300,platt,300,0,-0.0032836013075211072,0.16415566369338025,252,0
20251017,0.0014150650926214607,1,3845.1888036892378,0.64166666666666672,0.0062861557870628193,True,0.55128885360827251,300,platt,300,0,0.0090242771715773797,0.1568064749915164,252,0
20251020,0.00043869813952588483,1,3865.5876824949482,0.64166666666666672,0.013571702277646036,True,0.55462251489564163,300,platt,300,0,0.0027977042373385375,0.1568064749915164,252,0
20251021,-0.00076941765193609668,0,3913.3189048744744,0.64166666666666672,-0.0006574008200835868,True,0.55468413206527156,300,platt,300,0,-0.0051700643920754939,0.14882167678906186,252,0
20251022,0.00040055782581753654,1,3915.3252862350328,0.65000000000000002,0.0022107909800035408,True,0.55723155663623447,300,platt,300,0,0.0025544724848843626,0.1568064749915164,252,0
20251023,0.00073091529754316085,1,3925.2770495453278,0.65000000000000002,0.0071133306535182683,True,0.55734037578202722,300,platt,300,0,0.0049113496992723169,0.14882167678906186,252,0
20251024,0.00033494071012926153,1,3951.6346201390411,0.65000000000000002,0.011804891842073895,True,0.56077403562413364,300,platt,300,0,0.0021360132618718879,0.1568064749915164,252,0
20251027,0.00054223704828225915,1,3999.1117913878275,0.65833333333333333,-0.0021818166351822432,False,0.56337133055145872,300,platt,300,0,0.0036435354041254339,0.14882167678906186,252,0
20251028,-0.00052742114957270213,0,3986.1204263659088,0.65833333333333333,0.0070475230841477998,False,0.56340820432661287,300,platt,300,0,-0.0033635163956159137,0.1568064749915164,252,0
20251029,-0.00045411609400154446,0,4014.5071194540628,0.65833333333333333,-0.0073276331059367594,True,0.56000332481508319,300,platt,300,0,-0.0028960289683580553,0.1568064749915164,252,0
20251030,0.00074073504744931614,1,3989.8540371532636,0.65833333333333333,-0.0080540754864028008,False,0.56023619413186643,300,platt,300,0,0.0040611487408343449,0.18239544885448727,252,0
