trade_date,raw_rows,active_rows,matched_rows,stock_coverage,amount_coverage,large_net_ratio,small_net_ratio,large_selling_fraction,large_selling_amount_fraction,large_net_median,large_small_divergence,shanghai_relative,up_sell_amount_fraction,down_buy_amount_fraction,high_turnover_large_ratio,other_turnover_large_ratio
20260323,5184,5183,5183,1,1,-0.016346721279477523,0.012394558925309577,0.71232876712328763,0.74181832263604475,-0.014274020632534596,0.5581709434690334,0.010681661708036937,0.074217585428852539,0.17427435432586066,-0.015131706815897129,-0.017761957639310058
20260324,5182,5181,5181,1,1,-0.00029672943971555761,0.004243858817121849,0.60393746381007529,0.53592443320908045,-0.0062184750368844783,0.54564755838641188,-0.00056480288566033673,0.41127306260074042,0.041737184385975186,0.0011910154099861652,-0.0021781422017607042
20260325,5183,5182,5182,1,1,0.0034482574234428486,0.00033766626292439946,0.53994596680818219,0.46617936452629544,-0.0022372220314416827,0.4681590119644925,-0.0016184575112037013,0.36009438309967823,0.04287326003577592,0.0058421863110894251,8.0736440699853747e-05
20260326,5182,5181,5181,1,1,-0.013257019666383306,0.0096200270318575962,0.61937849835939007,0.6399997021439543,-0.0072737382657900723,0.47847905809689251,0.0099970755416802556,0.095343490930025684,0.17148393816077556,-0.01441438711596185,-0.011656758400814156
20260327,5178,5177,5177,1,1,0.0022281273929063293,0.00087377408850804899,0.53660421093297272,0.49439865567426861,-0.0022953414331787023,0.46011203399652306,-0.003852063735675653,0.25829107638730231,0.078919535501698113,0.0026697120982110802,0.0016425536725543693
20260330,5175,5174,5174,1,1,-0.0044583392573721622,0.0033764177453067161,0.57788944723618085,0.5504034386409673,-0.0047851481858238757,0.4744878237340549,0.0047777632245904452,0.19521994600048168,0.11945860618516502,-0.0053582861672698762,-0.0032988293531059708
20260331,5180,5179,5179,1,1,-0.012386807965840603,0.0084750407595940713,0.58814442942653022,0.62425864389715413,-0.0056694236014274077,0.46843019888009269,0.011552236037167908,0.080048605948005266,0.18274431474791258,-0.014719763361094132,-0.0092862299272262801
20260401,5183,5182,5182,1,1,0.0017874934941812881,0.0015498555397759845,0.508490930142802,0.48236746290752852,-0.00062672662813499506,0.42416055576997297,-0.0008362412647706513,0.28337667526278659,0.055178749277234693,0.0010601404078085749,0.0027582107591171087
20260402,5183,5182,5182,1,1,-0.01362334009951988,0.0088544224407283902,0.61057506754148982,0.6412425333700571,-0.0078206668320730723,0.47857969895793129,0.012418322313820184,0.12247333197238498,0.17677841227658372,-0.014397863074224315,-0.012636839621479828
20260403,5184,5183,5183,1,1,-0.007543038821448524,0.0086555331248716078,0.5938645572062512,0.56041875845531708,-0.0072442914666008039,0.47212039359444335,0.0079808285028734917,0.10974367336635898,0.18892917791309358,-0.0038870559242949383,-0.012317152832860589
20260407,5182,5181,5181,1,1,-0.0042819719415766047,0.0067713357102219748,0.62613395097471536,0.57906295881923309,-0.0082498462817772473,0.55684230843466509,0.0021585594827438219,0.33366602681697821,0.091060576920415609,-0.0030155922923946962,-0.0059857794317835023
20260408,5187,5186,5186,1,1,0.01091873782412686,-0.0033603793821484242,0.47936752795989201,0.40223994375683492,0.0015579736584316894,0.4124566139606633,-0.011637673736178531,0.33697645449684471,0.027796955053877914,0.014610850551708066,0.0059091780991247945
20260409,5188,5187,5187,1,1,-0.0080834825242284674,0.0053394386411576714,0.58762290341237711,0.60853376534128056,-0.0056451738623681828,0.43878928089454405,0.007914707259220331,0.22176249021529726,0.14814053013087053,-0.0081454614805118765,-0.0079928363639683881
20260410,5191,5190,5190,1,1,0.0028310667898565674,0.00074377723591409711,0.51618497109826589,0.45577119812811195,-0.00098842256533678268,0.4273603082851638,0.00051862863719064197,0.21512679579985966,0.10123059886827396,0.0038108912186585204,0.0013290814227897771
20260413,5189,5188,5188,1,1,-0.0018594128628424838,0.0014120162118246066,0.52929838087895142,0.50607674919510393,-0.001855394168646155,0.39437162683114879,0.0043420517726497033,0.2439119396648228,0.12885031237047173,-0.0012924082660482621,-0.0027052458915532139
