trade_date,contract_rows,P_contract_rows,P_volume,P_amount,P_interest,C_contract_rows,C_volume,C_amount,C_interest,near_put_interest_share,far_put_interest_share,near_interest_share,put_interest_term_spread,matched_put_interest_growth,matched_call_interest_growth,matched_interest_imbalance,matched_contract_rows,matched_prior_interest_coverage
20260106,152,76,550062,20013.109507000005,601052,76,934334,56052.374578999996,552620,0.5241835900889964,0.51467848720502407,0.66405182755583914,0.0095051028839723273,0.099826552646857886,0.049711310516445617,0.02829182820641675,144,1
20260107,152,76,450500,17708.113148,622336,76,617761,33017.657789999997,610392,0.50529677329468103,0.50395180629876424,0.66375875294468856,0.0013449669959167965,0.03541124561601991,0.10454199992761753,-0.031627707008577831,152,1
20260108,152,76,353043,15608.674481,603179,76,441881,22141.53282,625782,0.48518685842238535,0.50175704739227278,0.66100795712801297,-0.016570188969887434,-0.030782406931303991,0.025213305547910195,-0.028024835973548098,152,1
20260109,152,76,398742,16810.386383000001,624875,76,619766,32570.128913999997,635632,0.49268766389562085,0.50149884774644915,0.65437082063011154,-0.0088111838508282969,0.035969422012371119,0.015740305729471285,0.0096390365520142626,152,1
20260112,152,76,408784,19576.744107000002,646953,76,692928,35098.223264999993,653185,0.49521521735262192,0.50200698671998212,0.6483811718448349,-0.0067917693673602009,0.035331866373274658,0.027615035114657537,0.0035898253639210253,152,1
20260113,152,76,480803,23054.229185999997,662220,76,843831,45865.599425000008,678004,0.48956937931767824,0.50238405493536209,0.64555850365312062,-0.012814675617683846,0.023598313942434768,0.037996892151534407,-0.0073469124046831955,152,1
20260114,152,76,675661,29244.430758999995,658009,76,881758,46834.366134999997,710544,0.47369272619971903,0.49280212618950409,0.62774112511535907,-0.019109399989785059,-0.0063589139560871009,0.047993817145621558,-0.027421535504512679,152,1
20260115,152,76,443580,17411.654795000002,656012,76,507681,24017.646147999996,752362,0.45555593043263787,0.48182780554376287,0.61030734733813607,-0.026271875111124998,-0.0030349128963281656,0.058853498164786418,-0.032015566806692909,152,1
20260116,152,76,534878,21690.596891000001,650256,76,664758,26775.131490999996,817031,0.4208333092848362,0.4753653187616268,0.59041278223006133,-0.054532009476790599,-0.0087742297396998844,0.085954633540768932,-0.050004473243612846,152,1
20260119,152,76,575870,15811.558962000001,628367,76,490045,17762.487656000001,810130,0.42114562842156172,0.45815090747973353,0.57637728823904399,-0.037005279058171803,-0.033662126916168399,-0.0084464359369473135,-0.010214770525466387,152,1
20260120,152,76,411012,16903.74365,632706,76,476660,18282.721454999999,819088,0.42244259015931129,0.45227988013659137,0.55199773521587769,-0.029837289977280079,0.0069052003049173494,0.011057484601236839,-0.0032109903600772193,152,1
20260121,152,76,407008,15884.464243,638239,76,538077,22740.734727999996,837209,0.42438577534981542,0.44171427997630214,0.52752723240669952,-0.017328504626486718,0.0087449779202346742,0.022123386009806029,-0.0086706516213732807,152,1
20260122,152,76,422535,16433.376196000001,646964,76,514334,21750.144790999999,899616,0.40330463353120688,0.43351521254368092,0.50300534081651127,-0.030210579012474037,0.013670427535766382,0.074541721362288274,-0.036383525546139203,152,1
20260123,152,76,615432,22454.460682999998,649385,76,630947,22667.189560999999,972906,0.37044386878025209,0.42642371127464868,0.46686198715273647,-0.055979842494396581,0.0037420938413883927,0.081468093053035956,-0.045823041808377193,152,1
20260126,152,76,729660,27553.435373,626396,76,957176,40031.337707999999,889577,0.37560097912946755,0.51041851465499088,0.72113157688164631,-0.13481753552552334,-0.035401187277193033,-0.085649589991222172,0.037194313473969835,152,1
20260127,152,76,501965,20106.157991,645490,76,659698,30273.316823999998,900035,0.3836596361773642,0.50396163851537024,0.71745005742385271,-0.12030200233800603,0.030482314701881875,0.011756149270945629,0.0056966713787118903,152,1
20260128,152,76,484928,23731.401522999997,644189,76,560466,28566.830876999997,896941,0.38399243780367515,0.50144102552609759,0.71046569724812314,-0.11744858772242245,-0.002015523090985143,-0.0034376440916186594,0.0011601235826013813,152,1
20260129,128,64,531891,26517.515739000002,509828,64,767700,47941.483956000004,606950,0.41891071532596064,0.50933341945485078,0.58410713678098958,-0.090422704128890141,0.13603171899374228,0.00086103406879993374,0.057302543679464579,110,0.68137859882034613
20260130,130,65,522376,27063.251237000004,495085,65,588632,34364.296287000005,664866,0.37212497652889998,0.50187865734803538,0.57850547135180708,-0.12975368081913541,-0.029060781283099399,0.094734327374577806,-0.064753245497314593,128,1
20260202,130,65,699756,42773.239421999999,524451,65,669842,37622.024103999996,778835,0.34290650717666415,0.49033889443414613,0.59642396220016169,-0.14743238725748198,0.059315067109688237,0.17141649595557601,-0.072936701636534651,130,1
20260203,130,65,523607,25652.063715,541868,65,532613,25830.573048000002,792435,0.35360898692182557,0.48013504018149861,0.58509199184892791,-0.12652605325967303,0.033209966231354311,0.017461978467839787,0.0029287508651209327,130,1
20260204,130,65,387795,17373.399666000001,562510,65,447109,23718.185015000003,755457,0.38446158962421018,0.48301446265301112,0.57038605670703435,-0.098552873028800947,0.038094148390382901,-0.046663764220409243,0.043183594730732078,130,1
